kind,key,value,pass
level,intensity_0.0,,,
level,intensity_0.5,13.300000000000004,,
level,intensity_1.0,9.630000000000003,,
level,intensity_2.0,8.56000000000001,,
level,intensity_4.0,8.020000000000003,,
level,intensity_8.0,7.700000000000003,,
spearman,rho,-1.000000,True
lat_i0_sim_ms,value,9.63000,,
lat_i0_ref_ms,value,10.10000,,
lat_i0_ref_err,value,0.046535,True
window_ok,value,1,,
beh_lat_i0_sim_ms,value,9.74000,,
beh_lat_i0_ref_ms,value,10.10000,,
beh_equiv_neural,value,1,,
trial,0,8.230000000000004,1
trial,1,8.230000000000004,1
trial,2,8.230000000000004,1
trial,3,8.230000000000004,1
trial,4,8.230000000000004,1
trial,5,8.230000000000004,1
trial,6,8.230000000000004,1
trial,7,8.93,1
trial,8,8.230000000000004,1
trial,9,8.230000000000004,1
trial,10,8.230000000000004,1
trial,11,8.93,1
trial,12,8.230000000000004,1
trial,13,8.93,1
trial,14,8.230000000000004,1
trial,15,8.230000000000004,1
trial,16,8.230000000000004,1
trial,17,8.230000000000004,1
trial,18,8.93,1
trial,19,8.93,1
trials,n_valid,20,,
trials,n_fail,0,,
trials,sd_ms,0.30311,True
summary,pass,1,,
